Date,Open,High,Low,Close,Volume,Turnover,Symbol,Expiry,Last,Settle Price,Number of Contracts,Open Interest,Change in OI,Underlying
2004-11-01,1787.3,1800.25,1776.7,1797.75,79012229.0,21861800000.0,,,,,,,,
2004-11-02,1798.3,1817.1,1798.3,1813.7,76288479.0,21583000000.0,,,,,,,,
2004-11-03,1814.15,1838.4,1814.15,1837.4,86217947.0,26744699999.999996,,,,,,,,
2004-11-04,1837.8,1853.05,1830.5,1834.85,85025973.0,24861200000.0,,,,,,,,
2004-11-05,1836.05,1854.4,1836.0,1852.3,63624259.0,21530900000.0,,,,,,,,
2004-11-08,1852.45,1871.05,1852.45,1862.8,63019704.0,24758900000.0,,,,,,,,
2004-11-09,1863.55,1869.45,1853.45,1858.75,63300470.0,22266200000.0,,,,,,,,
2004-11-10,1859.65,1878.2,1857.7,1876.1,71714188.0,22878500000.0,,,,,,,,
2004-11-11,1876.45,1884.65,1866.95,1870.55,58868131.0,19573300000.0,,,,,,,,
2004-11-12,1871.9,1885.05,1866.75,1872.95,21421309.0,4948700000.0,,,,,,,,
2004-11-16,1872.8,1881.4,1862.8,1879.0,68597061.0,23487199999.999996,,,,,,,,
2004-11-17,1879.05,1892.15,1874.35,1888.65,77652189.0,22626500000.0,,,,,,,,
2004-11-18,1890.45,1895.3,1880.8,1892.05,91092186.0,24934899999.999996,,,,,,,,
2004-11-19,1891.95,1898.15,1869.35,1872.35,83053004.0,25274200000.0,,,,,,,,
2004-11-22,1872.55,1878.05,1845.1,1873.35,73274594.0,24060500000.0,,,,,,,,
2004-11-23,1873.35,1900.05,1873.35,1892.6,82131852.0,23212500000.0,,,,,,,,
2004-11-24,1893.15,1907.35,1889.85,1904.05,65665293.0,21790100000.000004,,,,,,,,
2004-11-25,1904.25,1915.8,1892.6,1901.05,105457319.0,34064100000.0,,,,,,,,
2004-11-29,1899.3,1942.95,1894.6,1939.65,110660425.0,33697100000.0,,,,,,,,
2004-11-30,1940.25,1963.8,1940.25,1958.8,119046574.0,36063300000.0,,,,,,,,
2004-12-01,1960.75,1971.6,1944.5,1962.05,114582297.0,33653200000.0,,,,,,,,
2004-12-02,1962.75,2001.55,1962.75,1999.0,131745401.0,41875000000.0,,,,,,,,
2004-12-03,1991.9,2011.9,1990.3,1996.2,111129666.0,36600500000.0,,,,,,,,
2004-12-06,1996.3,2012.25,1989.95,1993.15,103216603.0,31571000000.0,,,,,,,,
2004-12-07,1990.6,2002.6,1981.15,1992.7,91427830.0,27814200000.0,,,,,,,,
2004-12-08,1994.15,2009.7,1973.15,1977.95,101909462.0,28724100000.0,,,,,,,,
2004-12-09,1977.8,1995.7,1964.5,1989.95,87016756.0,28286400000.0,,,,,,,,
2004-12-10,1990.2,1999.7,1964.65,1969.0,86928429.0,28567399999.999996,,,,,,,,
2004-12-13,1970.6,1987.0,1964.8,1985.35,68234148.0,23401500000.0,,,,,,,,
2004-12-14,1985.2,2008.8,1972.85,2006.8,80092685.0,21798600000.0,,,,,,,,
2004-12-15,2006.8,2034.35,2006.8,2028.7,86232934.0,28928600000.0,,,,,,,,
