Date,Option Type,Strike Price,close,Underlying,expiry,futures,days2expiry,atm_strike
2019-11-04,PE,12500.0,551.4,11941.3,2019-12-26,11941.3,52,3500
2019-11-05,PE,12500.0,564.05,11917.2,2019-12-26,11917.2,51,3500
2019-11-06,PE,12500.0,525.1,11966.05,2019-12-26,11966.05,50,3500
2019-11-07,PE,12500.0,484.9,12012.05,2019-12-26,12012.05,49,3500
2019-11-08,PE,12500.0,566.4,11908.15,2019-12-26,11908.15,48,3500
2019-11-11,PE,12500.0,554.95,11913.45,2019-12-26,11913.45,45,3500
2019-11-13,PE,12500.0,627.0,11840.45,2019-12-26,11840.45,43,3500
2019-11-14,PE,12500.0,588.05,11872.1,2019-12-26,11872.1,42,3500
2019-11-15,PE,12500.0,548.6,11895.45,2019-12-26,11895.45,41,3500
2019-11-18,PE,12500.0,563.6,11884.5,2019-12-26,11884.5,38,3500
2019-11-19,PE,12500.0,514.1,11940.1,2019-12-26,11940.1,37,3500
2019-11-20,PE,12500.0,484.0,11999.1,2019-12-26,11999.1,36,3500
2019-11-21,PE,12500.0,512.05,11968.4,2019-12-26,11968.4,35,3500
2019-11-22,PE,12500.0,566.35,11914.4,2019-12-26,11914.4,34,3500
2019-11-25,PE,12500.0,402.25,12073.75,2019-12-26,12073.75,31,3500
2019-11-26,PE,12500.0,417.55,12037.7,2019-12-26,12037.7,30,3500
2019-11-27,PE,12500.0,383.75,12100.7,2019-12-26,12100.7,29,3500
2019-11-28,PE,12500.0,354.15,12151.15,2019-12-26,12151.15,28,3500
2019-11-29,PE,12500.0,420.55,12056.05,2019-12-26,12056.05,27,3500
2019-12-02,PE,12500.0,427.7,12048.2,2019-12-26,12048.2,24,3500
2019-12-03,PE,12500.0,465.35,11994.2,2019-12-26,11994.2,23,3500
2019-12-04,PE,12500.0,423.55,12043.2,2019-12-26,12043.2,22,3500
2019-12-05,PE,12500.0,460.0,12018.4,2019-12-26,12018.4,21,3500
2019-12-06,PE,12500.0,548.4,11921.5,2019-12-26,11921.5,20,3500
2019-12-09,PE,12500.0,537.8,11937.5,2019-12-26,11937.5,17,3500
2019-12-10,PE,12500.0,604.2,11856.8,2019-12-26,11856.8,16,3500
2019-12-11,PE,12500.0,564.65,11910.15,2019-12-26,11910.15,15,3500
2019-12-12,PE,12500.0,475.35,11971.8,2019-12-26,11971.8,14,3500
2019-12-13,PE,12500.0,362.65,12086.7,2019-12-26,12086.7,13,3500
2019-12-16,PE,12500.0,425.9,12053.95,2019-12-26,12053.95,10,3500
2019-12-17,PE,12500.0,321.15,12165.0,2019-12-26,12165.0,9,3500
2019-12-18,PE,12500.0,266.35,12221.65,2019-12-26,12221.65,8,3500
2019-12-19,PE,12500.0,237.9,12259.7,2019-12-26,12259.7,7,3500
2019-12-20,PE,12500.0,212.95,12271.8,2019-12-26,12271.8,6,3500
2019-12-23,PE,12500.0,231.15,12262.75,2019-12-26,12262.75,3,3500
2019-12-24,PE,12500.0,262.55,12214.55,2019-12-26,12214.55,2,3500
2019-12-26,PE,12500.0,363.55,12126.55,2019-12-26,12126.55,0,3500
2019-10-01,CE,12500.0,40.85,11359.9,2019-12-26,11359.9,86,3500
2019-10-03,CE,12500.0,38.05,11314.0,2019-12-26,11314.0,84,3500
2019-10-04,CE,12500.0,28.5,11174.75,2019-12-26,11174.75,83,3500
2019-10-07,CE,12500.0,26.35,11126.4,2019-12-26,11126.4,80,3500
2019-10-09,CE,12500.0,35.95,11313.3,2019-12-26,11313.3,78,3500
2019-10-10,CE,12500.0,29.15,11234.55,2019-12-26,11234.55,77,3500
2019-10-11,CE,12500.0,32.0,11305.05,2019-12-26,11305.05,76,3500
2019-10-14,CE,12500.0,31.7,11341.15,2019-12-26,11341.15,73,3500
2019-10-15,CE,12500.0,34.45,11428.3,2019-12-26,11428.3,72,3500
2019-10-16,CE,12500.0,35.9,11464.0,2019-12-26,11464.0,71,3500
2019-10-17,CE,12500.0,44.0,11586.35,2019-12-26,11586.35,70,3500
2019-10-18,CE,12500.0,56.8,11661.85,2019-12-26,11661.85,69,3500
2019-10-22,CE,12500.0,50.25,11588.35,2019-12-26,11588.35,65,3500
2019-10-23,CE,12500.0,47.25,11604.1,2019-12-26,11604.1,64,3500
2019-10-24,CE,12500.0,42.3,11582.6,2019-12-26,11582.6,63,3500
2019-10-25,CE,12500.0,37.55,11583.9,2019-12-26,11583.9,62,3500
2019-10-27,CE,12500.0,36.9,11627.15,2019-12-26,11627.15,60,3500
2019-10-29,CE,12500.0,65.25,11786.85,2019-12-26,11786.85,58,3500
2019-10-30,CE,12500.0,75.95,11844.1,2019-12-26,11844.1,57,3500
2019-10-31,CE,12500.0,75.3,11877.45,2019-12-26,11877.45,56,3500
2019-11-01,CE,12500.0,70.55,11890.6,2019-12-26,11890.6,55,3500
2019-11-04,CE,12500.0,75.7,11941.3,2019-12-26,11941.3,52,3500
2019-11-05,CE,12500.0,67.25,11917.2,2019-12-26,11917.2,51,3500
2019-11-06,CE,12500.0,78.7,11966.05,2019-12-26,11966.05,50,3500
2019-11-07,CE,12500.0,79.7,12012.05,2019-12-26,12012.05,49,3500
2019-11-08,CE,12500.0,59.65,11908.15,2019-12-26,11908.15,48,3500
2019-11-11,CE,12500.0,52.35,11913.45,2019-12-26,11913.45,45,3500
2019-11-13,CE,12500.0,36.65,11840.45,2019-12-26,11840.45,43,3500
2019-11-14,CE,12500.0,36.25,11872.1,2019-12-26,11872.1,42,3500
2019-11-15,CE,12500.0,40.45,11895.45,2019-12-26,11895.45,41,3500
2019-11-18,CE,12500.0,33.3,11884.5,2019-12-26,11884.5,38,3500
2019-11-19,CE,12500.0,38.35,11940.1,2019-12-26,11940.1,37,3500
2019-11-20,CE,12500.0,45.85,11999.1,2019-12-26,11999.1,36,3500
2019-11-21,CE,12500.0,34.5,11968.4,2019-12-26,11968.4,35,3500
2019-11-22,CE,12500.0,22.45,11914.4,2019-12-26,11914.4,34,3500
2019-11-25,CE,12500.0,47.35,12073.75,2019-12-26,12073.75,31,3500
2019-11-26,CE,12500.0,38.7,12037.7,2019-12-26,12037.7,30,3500
2019-11-27,CE,12500.0,43.65,12100.7,2019-12-26,12100.7,29,3500
2019-11-28,CE,12500.0,42.8,12151.15,2019-12-26,12151.15,28,3500
2019-11-29,CE,12500.0,24.2,12056.05,2019-12-26,12056.05,27,3500
2019-12-02,CE,12500.0,20.2,12048.2,2019-12-26,12048.2,24,3500
2019-12-03,CE,12500.0,13.85,11994.2,2019-12-26,11994.2,23,3500
2019-12-04,CE,12500.0,16.2,12043.2,2019-12-26,12043.2,22,3500
2019-12-05,CE,12500.0,9.85,12018.4,2019-12-26,12018.4,21,3500
2019-12-06,CE,12500.0,7.4,11921.5,2019-12-26,11921.5,20,3500
2019-12-09,CE,12500.0,6.2,11937.5,2019-12-26,11937.5,17,3500
2019-12-10,CE,12500.0,4.65,11856.8,2019-12-26,11856.8,16,3500
2019-12-11,CE,12500.0,4.25,11910.15,2019-12-26,11910.15,15,3500
2019-12-12,CE,12500.0,4.6,11971.8,2019-12-26,11971.8,14,3500
2019-12-13,CE,12500.0,9.3,12086.7,2019-12-26,12086.7,13,3500
2019-12-16,CE,12500.0,4.4,12053.95,2019-12-26,12053.95,10,3500
2019-12-17,CE,12500.0,6.05,12165.0,2019-12-26,12165.0,9,3500
2019-12-18,CE,12500.0,5.95,12221.65,2019-12-26,12221.65,8,3500
2019-12-19,CE,12500.0,3.85,12259.7,2019-12-26,12259.7,7,3500
2019-12-20,CE,12500.0,3.35,12271.8,2019-12-26,12271.8,6,3500
